epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,82.6181,1.46321,3.96168,1.68356,0.007,0.74838,0.2491,0.16903,1.06297,4.37232,1.5306,0.00015554,0.00015554,0.00015554
2,170.608,1.16714,3.03321,1.45264,0.00504,0.98571,0.5311,0.38547,0.87332,3.97146,1.31101,0.000315811,0.000315811,0.000315811
3,258.863,1.09507,2.36689,1.34278,0.94209,0.28431,0.6594,0.42881,1.28553,3.65603,1.63182,0.000469482,0.000469482,0.000469482
